full_name,H,diameter,albedo,e,a,q,i,n
   151 Abundantia (A875 VA),9.32,39.037,0.233,0.0361,2.591,2.498,6.43,0.2363
   152 Atala (A875 VB),8.36,58.964,0.257,0.0828,3.136,2.877,12.12,0.1774
   153 Hilda (A875 VC),7.73,170.63,0.0618,0.1385,3.968,3.419,7.83,0.1247
   154 Bertha (A875 VD),7.65,192.611,0.044,0.0772,3.194,2.947,21.02,0.1727
   155 Scylla (A875 VE),11.15,39.605,0.027,0.2728,2.761,2.008,11.36,0.2149
   156 Xanthippe (A875 WA),8.8,143.346,0.03,0.2215,2.733,2.127,9.76,0.2182
   157 Dejanira (A875 XA),11.18,19.959,0.173,0.1978,2.58,2.069,12.16,0.2379
   158 Koronis (A876 AA),9.32,39.025,0.213,0.0537,2.869,2.715,1.01,0.2028
   159 Aemilia (A876 BA),8.27,125.236,0.064,0.0992,3.109,2.8,6.11,0.1798
   160 Una (A876 DA),9.1,81.24,0.0625,0.0654,2.728,2.55,3.82,0.2187
   161 Athor (A876 HA),9.29,40.992,0.23,0.1381,2.379,2.051,9.05,0.2686
   162 Laurentia (A876 HB),9.09,97.021,0.051,0.1832,3.014,2.462,6.09,0.1884
   163 Erigone (A876 HC),9.77,81.579,0.033,0.1919,2.367,1.913,4.82,0.2707
   164 Eva (A876 NA),8.77,100.254,0.029,0.3462,2.633,1.721,24.47,0.2307
   165 Loreley (A876 PA),7.81,180.083,0.047,0.0835,3.126,2.865,11.23,0.1783
   166 Rhodope (A876 PB),9.88,52.393,0.046,0.2102,2.687,2.122,12.02,0.2238
   167 Urda (A876 QA),9.37,39.935,0.223,0.037,2.853,2.748,2.22,0.2045
   168 Sibylla (A876 SA),8.27,145.366,0.056,0.0742,3.371,3.121,4.67,0.1592
   169 Zelia (A876 SB),9.54,37.517,0.188,0.1302,2.36,2.052,5.5,0.2719
   170 Maria (A877 AA),9.31,33.136,0.282,0.0614,2.554,2.398,14.36,0.2414
   171 Ophelia (A877 AB),8.63,130.808,0.076,0.1329,3.129,2.713,2.55,0.1781
   172 Baucis (A877 CA),8.72,62.43,0.1382,0.114,2.379,2.108,10.02,0.2685
   173 Ino (A877 PA),7.91,125.821,0.096,0.2093,2.742,2.168,14.19,0.2171
   174 Phaedra (A877 RA),8.39,64.849,0.169,0.1455,2.859,2.443,12.1,0.2039
   175 Andromache (A877 TA),8.61,94.532,0.094,0.2314,3.187,2.45,3.22,0.1732
   176 Iduna (A877 TB),8.41,106.976,0.065,0.1726,3.182,2.633,22.67,0.1737
   177 Irma (A877 VA),9.62,69.049,0.022,0.2352,2.772,2.12,1.38,0.2136
   178 Belisana (A877 VB),9.49,35.81,0.2438,0.0425,2.46,2.356,1.89,0.2554
   179 Klytaemnestra (A877 VC),8.26,69.946,0.198,0.1091,2.972,2.648,7.82,0.1923
   180 Garumna (A878 BA),10.31,23.44,0.242,0.1686,2.722,2.263,0.87,0.2195
   181 Eucharis (A878 CB),8.06,115.383,0.101,0.2084,3.123,2.472,18.9,0.1786
   182 Elsa (A878 CC),9.08,39.52,0.196,0.1864,2.416,1.966,2.01,0.2624
   183 Istria (A878 CD),9.47,32.927,0.227,0.3481,2.795,1.822,26.4,0.211
   184 Dejopeja (A878 DA),8.37,62.483,0.215,0.0589,3.191,3.003,1.13,0.1729
   185 Eunike (A878 EA),7.62,160.464,0.062,0.1268,2.738,2.391,23.25,0.2175
   186 Celuta (A878 GA),9.07,49.99,0.1929,0.1499,2.363,2.008,13.19,0.2714
   187 Lamberta (A878 GB),8.37,147.294,0.044,0.2383,2.732,2.081,10.57,0.2182
   188 Menippe (A878 MA),9.31,35.752,0.242,0.1785,2.762,2.269,11.7,0.2147
   189 Phthia (A878 RA),9.37,38.49,0.17,0.0374,2.45,2.358,5.17,0.257
   190 Ismene (A878 SA),7.88,159.0,0.066,0.1682,3.995,3.323,6.17,0.1234
   191 Kolga (A878 SB),9.09,94.536,0.046,0.0869,2.896,2.644,11.52,0.2
   192 Nausikaa (A879 DA),7.21,98.776,0.327,0.2452,2.403,1.814,6.8,0.2645
   193 Ambrosia (A879 DB),9.77,26.302,0.343,0.2983,2.598,1.823,12.0,0.2353
   194 Prokne (A879 FA),7.83,161.667,0.057,0.2375,2.619,1.997,18.53,0.2326
   195 Eurykleia (A879 HA),9.22,93.109,0.051,0.0387,2.878,2.767,6.95,0.2018
   196 Philomela (A879 JA),6.72,144.626,0.342,0.0126,3.118,3.079,7.25,0.179
   197 Arete (A879 KA),9.55,31.729,0.373,0.1624,2.739,2.295,8.79,0.2174
   198 Ampella (A879 LA),8.53,54.323,0.268,0.2271,2.459,1.901,9.32,0.2556
   199 Byblis (A879 NA),8.52,76.129,0.107,0.1836,3.163,2.582,15.48,0.1752
   200 Dynamene (A879 OA),8.45,128.301,0.053,0.1341,2.738,2.371,6.9,0.2175
   201 Penelope (A879 PA),8.55,85.877,0.04,0.1811,2.679,2.194,5.77,0.2248
   202 Chryseis (A879 RA),7.67,86.15,0.2562,0.1053,3.068,2.745,8.85,0.1834
   203 Pompeja (A879 SA),8.92,124.592,0.036,0.0613,2.737,2.569,3.17,0.2177
   204 Kallisto (A879 TA),8.97,48.566,0.194,0.1761,2.67,2.199,8.27,0.2259
   205 Martha (A879 TB),9.42,76.983,0.061,0.0357,2.777,2.678,10.71,0.2129
   206 Hersilia (A879 TC),8.92,113.0,0.057,0.041,2.742,2.629,3.78,0.2171
   207 Hedda (A879 UA),10.25,57.88,0.058,0.0285,2.284,2.219,3.8,0.2856
   208 Lacrimosa (A879 UB),9.26,40.056,0.206,0.0113,2.893,2.86,1.74,0.2003
   209 Dido (A879 UC),8.3,179.008,0.028,0.052,3.154,2.99,7.17,0.176
